股票名称,股票代码,选择器,盈亏比,市值(亿元)
法拉电子,600563,TePu战法,9.842592592592604,245.25
海南瑞泽,002596,填坑战法,7.687500000000017,44.7556402
海南发展,002163,填坑战法,2.7792207792207817,84.4957867
川能动力,000155,TePu战法,2.769230769230774,186.09376887
上海港湾,605598,填坑战法,2.6989247311827964,55.83871189
金奥博,002917,填坑战法,2.532894736842107,51.93356103
浙江建投,002761,填坑战法,2.3544303797468396,103.09405294
首开股份,600376,TePu战法,2.210526315789474,67.84256586
五矿发展,600058,填坑战法,2.1724137931034444,85.64566581
青松建化,600425,TePu战法,2.0357142857142883,64.18814828
赣锋锂业,002460,填坑战法,2.0090090090090102,722.75121522
安靠智电,300617,填坑战法,2.0040567951318464,58.44216648
国城矿业,000688,填坑战法,1.978260869565218,154.51701098
中岩大地,003001,填坑战法,1.9425,51.91591037
永泰能源,600157,TePu战法,1.8571428571428572,314.17580369
柳    工,000528,填坑战法,1.801724137931034,221.56462325
花园生物,300401,填坑战法,1.7386363636363633,85.97660058
金盾股份,300411,填坑战法,1.6368159203980082,55.73389296
凯龙股份,002783,少妇战法,1.5112781954887216,50.23537929
常宝股份,002478,少妇战法,1.4615384615384657,50.00473565
中国能建,601868,TePu战法,1.4571428571428562,1067.29378908
海南机场,600515,TePu战法,1.3975903611948712,450.15719832
上海钢联,300226,填坑战法,1.2751677852348977,84.39743255
西藏矿业,000762,填坑战法,1.260089686098654,113.14690579
华北制药,600812,少妇战法,1.2352941147596352,117.18438427
超图软件,300036,TePu战法,1.2110552763819105,81.65142844
安泰科技,000969,填坑战法,1.1954022988505768,140.48100957
海兴电力,603556,TePu战法,1.128834355828219,130.02703906
天通股份,600330,少妇战法,1.1124999999999987,96.70125821
海峡股份,002320,少妇战法,1.0240000000000002,171.40496208
安阳钢铁,600569,少妇战法,0.9310344827586207,68.36362899
科锐国际,300662,填坑战法,0.9115789473684207,64.65088893
天齐锂业,002466,少妇战法,0.8756476683937826,622.35122427
新凤鸣,603225,少妇战法,0.8656716417910449,185.09305691
酒钢宏兴,600307,TePu战法,0.8620689655172413,109.60875492
山东钢铁,600022,少妇战法,0.8124999999999998,162.62251322
广晟有色,600259,填坑战法,0.7925925925925924,202.13069473
海普瑞,002399,少妇战法,0.7666666666666669,193.82982855
华鲁恒升,600426,TePu战法,0.7333333333333322,500.65527553
东北制药,000597,少妇战法,0.6705882352941165,87.62321947
新安股份,600596,少妇战法,0.6419753086419762,134.14994667
丽珠集团,000513,少妇战法,0.6403013182674194,374.93044832
望变电气,603191,少妇战法,0.6176470588235294,49.62036367
闻泰科技,600745,填坑战法,0.6082191780821905,453.77354095
辽宁成大,600739,少妇战法,0.5957446803451407,181.57655516
桐昆股份,601233,少妇战法,0.5734265734265738,292.90217635
威迈斯,688612,填坑战法,0.5648702594810379,130.15994831
锡业股份,000960,少妇战法,0.4637096774193559,295.42145038
兴发集团,600141,少妇战法,0.4441624365482232,271.84226189
罗博特科,300757,填坑战法,0.4420578095995753,288.09552774
