股票名称,股票代码,选择器,盈亏比,市值(亿元)
海南瑞泽,002596,填坑战法,8.200000000000008,44.29660799
首开股份,600376,TePu战法,3.4999999999999964,69.90621806
红旗连锁,002697,少妇战法,2.862068965517241,76.704
川能动力,000155,TePu战法,2.769230769230774,185.90915204
青松建化,600425,TePu战法,2.280000000000001,63.86720754
五矿发展,600058,填坑战法,2.2499999999999947,85.53847474
赣锋锂业,002460,填坑战法,2.121495327102803,723.35636555
花园生物,300401,填坑战法,2.0897435897435876,85.75921347
华北制药,600812,少妇战法,1.9999999937258235,115.98337301
中国能建,601868,TePu战法,1.964285714285712,1063.12467272
江特电机,002176,TePu战法,1.9574468085106391,128.82758137
中国医药,600056,少妇战法,1.8200000000000003,163.35006848
津药药业,600488,少妇战法,1.7058823529411773,49.35327794
海南机场,600515,TePu战法,1.546666666359372,445.58707448
西藏矿业,000762,填坑战法,1.3640776699029105,112.88631872
华兰疫苗,301207,少妇战法,1.296703296703296,112.45224525
中科飞测,688361,填坑战法,1.1150793650793638,280.170784
广晟有色,600259,填坑战法,1.0105386416861823,202.66899218
酒钢宏兴,600307,TePu战法,1.0,108.35608344
福安药业,300194,少妇战法,0.9999999999999963,54.72676957
科锐国际,300662,填坑战法,0.9931662870159451,64.94609847
国药现代,600420,少妇战法,0.9836065573770524,150.74781058
安泰科技,000969,填坑战法,0.9690721649484525,141.53172767
义翘神州,301047,少妇战法,0.9087656529516986,89.87738866
天通股份,600330,少妇战法,0.9080459770114941,98.30472296
仙琚制药,002332,少妇战法,0.8275862068965508,104.36111336
圣湘生物,688289,少妇战法,0.8132530120481914,128.97177014
山东钢铁,600022,少妇战法,0.8124999999999998,162.62251322
丽珠集团,000513,少妇战法,0.7755102040816323,372.30855707
上海凯宝,300039,少妇战法,0.7000000000000011,70.5004
奥锐特,605116,少妇战法,0.6808510638297884,96.83694379
华鲁恒升,600426,TePu战法,0.6554307116104874,505.32635952
铂科新材,300811,少妇战法|TePu战法,0.6137992831541221,160.61195894
新安股份,600596,少妇战法,0.5748502994011981,134.28490638
千禾味业,603027,少妇战法,0.5616438356164383,120.08383517
国信证券,002736,少妇战法,0.47959183673469474,1296.71672296
罗博特科,300757,填坑战法,0.45790884718498603,287.34091198
兴发集团,600141,少妇战法,0.3640897755610977,274.37975054
涛涛车业,301345,补票战法,0.14545454545454573,172.08354092
