股票名称,股票代码,选择器,盈亏比,市值(亿元)
万向钱潮,000559,填坑战法,4.749999999999995,249.43624647
爱慕股份,603511,少妇战法,2.6944444444444438,61.41569302
上海港湾,605598,填坑战法,1.7640845070422542,54.71362177
金奥博,002917,填坑战法,1.745535714285715,51.1688098
恒锋工具,300488,TePu战法,1.4560975609756102,58.08729776
中密控股,300470,填坑战法,1.4493243243243237,78.00644755
京运通,601908,填坑战法,1.3625000000000007,90.306147
国电南自,600268,少妇战法,1.299019607843138,93.56169865
良品铺子,603719,填坑战法,1.2368421052631589,51.5686
中电港,001287,填坑战法,1.0417827298050135,152.05600941
恒立液压,601100,TePu战法,1.0069444444444424,977.99483156
豪能股份,603809,填坑战法,0.9146919431279605,128.8908445
顺博合金,002996,填坑战法,0.8988764044943831,49.47136334
京粮控股,000505,少妇战法,0.8904109589041106,48.34219169
光环新网,300383,填坑战法,0.8209606986899564,255.79746213
物产环能,603071,"少妇战法, TePu战法",0.8091603053435116,73.98475901
*ST新研,300159,填坑战法,0.8020833333333334,46.21545902
汉缆股份,002498,少妇战法,0.8000000000000012,115.4398212
宝胜股份,600973,少妇战法,0.7636363636363638,71.03677165
福达股份,603166,填坑战法,0.719298245614035,106.49518568
科大智能,300222,TePu战法,0.6666666666666684,81.17473271
金田股份,601609,少妇战法,0.6416184971098267,115.72047727
亚普股份,603013,少妇战法,0.6369426751592355,103.13497192
法拉电子,600563,TePu战法,0.6329787234042553,248.7375
诺力股份,603611,少妇战法,0.6026490066225167,58.62994003
中牧股份,600195,少妇战法,0.5841924395833403,78.01572706
众业达,002441,少妇战法,0.560439560439559,49.98910331
华宝新能,301327,少妇战法,0.5256257449344461,95.09015343
焦点科技,002315,少妇战法,0.513469387755102,170.86323904
应流股份,603308,少妇战法,0.5071770335892504,176.88899288
中国中车,601766,TePu战法,0.4827586206896555,2106.49662406
东方生物,688298,少妇战法,0.47494033412887776,57.81888
中原内配,002448,少妇战法,0.46296296500701795,51.01511631
中粮糖业,600737,少妇战法,0.44444444444444553,209.39324152
南方精工,002553,填坑战法,0.4411214953271026,84.4596
松芝股份,002454,少妇战法,0.3495145631067952,50.9151096
至正股份,603991,少妇战法,0.3016528925619831,55.60310851
康力电梯,002367,少妇战法,0.3013698630136981,58.63429102
